,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Tom Brady *+\BradTo00,NWE,QB,30,16,16,398,578,4806,50,8,37,98,2.65,2,0,0,0,,0,6,4,2,,,390,390.0,405.0,398.0,186,1,1
2,LaDainian Tomlinson*+\TomlLa00,SDG,RB,28,16,16,1,1,17,1,0,315,1474,4.68,15,86,60,475,7.92,3,0,,18,,,308,367.6,373.6,337.6,174,1,2
3,Randy Moss*+\MossRa00,NWE,WR,30,16,16,0,0,0,0,0,0,0,,0,160,98,1493,15.23,23,0,,23,,,287,385.3,388.3,336.3,169,1,3
4,Brian Westbrook *+\WestBr00,PHI,RB,28,15,15,0,0,0,0,0,278,1333,4.79,7,118,90,771,8.57,5,2,2,12,,,278,368.4,376.4,323.4,145,2,4
5,Terrell Owens*+\OwenTe00,DAL,WR,34,15,15,0,0,0,0,0,1,5,5.00,0,141,81,1355,16.73,15,0,,15,,,226,307.0,310.0,266.5,108,2,5
6,Braylon Edwards*\EdwaBr00,CLE,WR,24,16,16,0,0,0,0,0,0,0,,0,154,80,1289,16.11,16,3,2,16,,,221,300.9,305.9,260.9,103,3,6
7,Joseph Addai*\AddaJo00,IND,RB,24,15,15,0,0,0,0,0,261,1072,4.11,12,48,41,364,8.88,3,0,,15,1,,236,276.6,282.6,256.1,102,3,7
8,Adrian Peterson*\PeteAd01,MIN,RB,22,14,9,0,0,0,0,0,238,1341,5.63,12,28,19,268,14.11,1,4,3,13,,,233,251.9,260.9,242.4,99,4,8
9,Clinton Portis\PortCl00,WAS,RB,26,16,16,1,1,15,1,0,325,1262,3.88,11,60,47,389,8.28,0,6,5,11,,,226,272.7,283.7,249.2,92,5,9
10,Tony Romo *\RomoTo00,DAL,QB,27,16,16,335,520,4211,36,19,31,129,4.16,2,0,0,0,,0,10,2,2,,,295,295.3,322.3,314.3,91,2,10
11,Reggie Wayne*\WaynRe00,IND,WR,29,16,16,0,0,0,0,0,1,4,4.00,0,156,104,1510,14.52,10,3,3,10,,,205,309.4,315.4,257.4,87,4,11
12,Jamal Lewis\LewiJa00,CLE,RB,28,15,15,0,0,0,0,0,298,1304,4.38,9,39,30,248,8.27,2,4,2,11,,,217,247.2,255.2,232.2,83,6,12
13,Larry Fitzgerald*\FitzLa00,ARI,WR,24,15,15,0,0,0,0,0,0,0,,0,167,100,1409,14.09,10,3,3,10,,,195,294.9,300.9,244.9,77,5,13
14,Chad Johnson *\JohnCh01,CIN,WR,29,16,16,0,0,0,0,0,6,47,7.83,0,161,93,1440,15.48,8,2,1,8,,,195,287.7,291.7,241.2,76,6,14
15,Jason Witten*+\WittJa00,DAL,TE,25,16,16,0,0,0,0,0,0,0,,0,141,96,1145,11.93,7,1,1,7,,,155,250.5,254.5,202.5,76,1,15
16,Antonio Gates*\GateAn00,SDG,TE,27,16,16,0,0,0,0,0,0,0,,0,117,75,984,13.12,9,0,,9,,,152,227.4,230.4,189.9,74,2,16
17,Peyton Manning *\MannPe00,IND,QB,31,16,16,337,515,4040,31,14,20,-5,-0.25,3,0,0,0,,0,6,1,3,,1,275,275.1,293.1,289.1,71,3,17
18,Tony Gonzalez*\GonzTo00,KAN,TE,31,16,16,0,0,0,0,0,0,0,,0,153,99,1172,11.84,5,0,,5,,,147,246.2,249.2,196.7,69,3,18
19,T.J. Houshmandzadeh*\HousTJ00,CIN,WR,30,16,15,0,0,0,0,0,5,14,2.80,0,169,112,1143,10.21,12,2,1,12,,,186,297.7,301.7,241.7,67,7,19
20,Marques Colston\ColsMa00,NOR,WR,24,16,14,0,0,0,0,0,0,0,,0,143,98,1202,12.27,11,1,1,11,,,184,282.2,286.2,233.2,66,8,20
21,Marion Barber III*\BarbMa01,DAL,RB,24,16,0,0,0,0,0,0,204,975,4.78,10,54,44,282,6.41,2,3,,12,,,198,241.7,247.7,219.7,64,7,21
22,Kellen Winslow*\WinsKe01,CLE,TE,24,16,14,0,0,0,0,0,0,0,,0,148,82,1106,13.49,5,2,1,5,1,,141,222.6,226.6,181.6,62,4,22
23,Brandon Marshall\MarsBr00,DEN,WR,23,16,16,0,0,0,0,0,5,57,11.40,0,170,102,1325,12.99,7,3,1,7,,,178,280.2,284.2,229.2,60,9,23
24,Ben Roethlisberger*\RoetBe00,PIT,QB,25,15,15,264,404,3154,32,11,35,204,5.83,2,0,0,0,,0,9,3,2,,1,261,260.6,280.6,271.6,56,4,24
25,Plaxico Burress\BurrPl00,NYG,WR,30,16,16,0,0,0,0,0,0,0,,0,141,70,1025,14.64,12,0,,12,,,175,244.5,247.5,209.5,56,10,25
26,Drew Brees\BreeDr00,NOR,QB,28,16,16,440,652,4423,28,18,23,52,2.26,1,2,2,10,5.00,0,9,4,1,,,257,259.1,284.1,276.1,53,5,26
27,Willis McGahee*\McGaWi00,BAL,RB,26,15,15,0,0,0,0,0,294,1207,4.11,7,49,43,231,5.37,1,4,3,8,,,186,228.8,237.8,207.3,52,8,27
28,Dallas Clark\ClarDa00,IND,TE,28,15,15,0,0,0,0,0,2,29,14.50,0,101,58,616,10.62,11,0,,11,,,131,188.5,191.5,159.5,52,5,28
29,Edgerrin James\JameEd00,ARI,RB,29,16,16,0,0,0,0,0,324,1222,3.77,7,39,24,204,8.50,0,5,,7,,,185,208.6,214.6,196.6,51,9,29
30,Wes Welker\WelkWe00,NWE,WR,26,16,13,0,0,0,0,0,4,34,8.50,0,145,112,1175,10.49,8,3,,8,,,169,280.9,283.9,224.9,51,11,30
31,Chris Cooley*\CoolCh00,WAS,TE,25,16,16,0,0,0,0,0,0,0,,0,110,66,786,11.91,8,1,,8,1,,129,194.6,197.6,161.6,50,6,31
32,Frank Gore\GoreFr00,SFO,RB,24,15,15,0,0,0,0,0,260,1102,4.24,5,69,53,436,8.23,1,4,3,6,,,184,236.8,245.8,210.3,50,10,32
33,Derek Anderson *\AndeDe00,CLE,QB,24,16,15,298,527,3787,29,19,32,70,2.19,3,0,0,0,,0,5,2,3,,1,252,252.5,276.5,271.5,48,6,33
34,Earnest Graham\GrahEa00,TAM,RB,27,15,10,0,0,0,0,0,222,898,4.05,10,69,49,324,6.61,0,1,1,10,,,180,229.2,236.2,204.7,46,11,34
35,Greg Jennings\JennGr00,GNB,WR,24,13,13,0,0,0,0,0,0,0,,0,84,53,920,17.36,12,1,,12,,,164,217.0,220.0,190.5,46,12,35
36,Matt Hasselbeck *\HassMa00,SEA,QB,32,16,16,352,562,3966,28,12,39,89,2.28,0,0,0,0,,0,9,4,0,,1,250,249.5,268.5,261.5,45,7,36
37,Torry Holt*\HoltTo00,STL,WR,31,16,16,0,0,0,0,0,0,0,,0,149,93,1189,12.78,7,2,,7,1,,163,255.9,258.9,209.4,45,13,37
38,Marshawn Lynch\LyncMa00,BUF,RB,21,13,13,1,1,8,1,0,280,1115,3.98,7,26,18,184,10.22,0,2,1,7,1,,176,194.2,201.2,185.2,42,12,38
39,Kevin Curtis\CurtKe00,PHI,WR,29,16,16,0,0,0,0,0,0,0,,0,135,77,1110,14.42,6,0,,8,,,159,236.0,239.0,197.5,41,14,39
40,Maurice Jones-Drew\DrewMa00,JAX,RB,22,15,0,0,0,0,0,0,167,768,4.60,9,55,40,407,10.18,0,2,2,10,,,174,213.5,221.5,193.5,40,13,40
41,Brett Favre *\FavrBr00,GNB,QB,38,16,16,356,535,4155,28,15,29,12,0.41,0,0,0,0,,0,9,3,0,,,243,243.4,264.4,258.4,39,8,41
42,Roddy White\WhitRo00,ATL,WR,26,16,15,0,0,0,0,0,1,-2,-2.00,0,137,83,1202,14.48,6,3,2,6,,,152,235.0,240.0,193.5,34,15,42
43,Steve Smith\SmitSt01,CAR,WR,28,15,15,0,0,0,0,0,9,66,7.33,0,148,87,1002,11.52,7,1,,7,,,149,235.8,238.8,192.3,31,16,43
44,Bobby Engram\EngrBo00,SEA,WR,34,16,13,0,0,0,0,0,0,0,,0,134,94,1147,12.20,6,1,1,6,,,149,242.7,246.7,195.7,30,17,44
45,Steven Jackson\JackSt00,STL,RB,24,12,12,1,1,2,1,0,237,1002,4.23,5,52,38,271,7.13,1,5,2,6,,,163,201.4,209.4,182.4,30,14,45
46,Santonio Holmes\HolmSa00,PIT,WR,23,13,13,0,0,0,0,0,5,17,3.40,0,85,52,942,18.12,8,2,,8,1,,146,197.9,200.9,171.9,28,18,46
47,Carson Palmer\PalmCa00,CIN,QB,28,16,16,373,575,4131,26,20,24,10,0.42,0,0,0,0,,0,5,1,0,,,228,228.2,252.2,248.2,24,9,47
48,Ryan Grant\GranRy00,GNB,RB,25,15,7,0,0,0,0,0,188,956,5.09,8,37,30,145,4.83,0,1,1,8,,,156,186.1,193.1,171.1,22,15,48
49,LenDale White\WhitLe01,TEN,RB,23,16,16,0,0,0,0,0,303,1110,3.66,7,31,20,114,5.70,0,5,5,7,,,154,174.4,185.4,164.4,21,16,49
50,Anquan Boldin\BoldAn00,ARI,WR,27,12,11,0,0,0,0,0,1,14,14.00,0,99,71,853,12.01,9,2,1,9,,,139,209.7,213.7,174.2,20,19,50
51,Willie Parker*\ParkWi00,PIT,RB,27,15,15,0,1,0,0,0,321,1316,4.10,2,31,23,164,7.13,0,4,3,2,,,154,177.0,186.0,165.5,20,17,51
52,Fred Taylor*\TaylFr00,JAX,RB,31,15,15,0,0,0,0,0,223,1202,5.39,5,14,9,58,6.44,0,2,1,5,,,154,163.0,167.0,158.5,20,18,52
53,Heath Miller\MillHe00,PIT,TE,25,16,16,0,0,0,0,0,0,0,,0,61,47,566,12.04,7,0,,7,,,99,145.6,148.6,122.1,20,7,53
54,Joey Galloway\GallJo00,TAM,WR,36,15,15,0,0,0,0,0,1,1,1.00,0,98,57,1014,17.79,6,0,,6,,,138,194.5,197.5,166.0,19,20,54
55,Derrick Mason\MasoDe00,BAL,WR,33,16,16,0,0,0,0,0,0,0,,0,164,103,1087,10.55,5,1,1,5,,,137,239.7,243.7,188.2,18,21,55
56,Kenny Watson\WatsKe00,CIN,RB,29,16,5,0,0,0,0,0,178,763,4.29,7,67,52,374,7.19,0,3,2,7,,,152,203.7,211.7,177.7,18,19,56
57,Nate Burleson\BurlNa00,SEA,WR,26,16,12,0,0,0,0,0,2,4,2.00,0,96,50,694,13.88,9,3,1,11,,,134,183.8,187.8,158.8,16,22,57
58,Chester Taylor\TaylCh01,MIN,RB,28,14,8,0,1,0,0,0,157,844,5.38,7,43,29,281,9.69,0,5,3,7,,,149,177.5,186.5,163.0,15,20,58
59,Donald Lee\LeexDo00,GNB,TE,27,15,12,0,0,0,0,0,0,0,,0,63,48,575,11.98,6,1,1,6,,,92,139.5,143.5,115.5,13,8,59
60,Andre Johnson\JohnAn02,HOU,WR,26,9,9,0,0,0,0,0,0,0,,0,86,60,851,14.18,8,1,1,8,,,131,191.1,195.1,161.1,13,23,60
61,Brandon Jacobs\JacoBr00,NYG,RB,25,11,9,0,0,0,0,0,202,1009,5.00,4,38,23,174,7.57,2,5,4,6,,,146,169.3,179.3,157.8,13,21,61
62,Thomas Jones\JoneTh00,NYJ,RB,29,16,14,0,0,0,0,0,310,1119,3.61,1,34,28,217,7.75,1,2,,2,,,146,173.6,179.6,159.6,12,22,62
63,Dwayne Bowe\BoweDw00,KAN,WR,23,16,15,0,0,0,0,0,0,0,,0,116,70,995,14.21,5,0,,5,,,130,199.5,202.5,164.5,11,24,63
64,Owen Daniels\DaniOw00,HOU,TE,25,16,16,0,0,0,0,0,0,0,,0,94,63,768,12.19,3,4,3,3,,,89,151.8,157.8,120.3,10,9,64
65,Jerricho Cotchery\CotcJe00,NYJ,WR,25,15,15,0,0,0,0,0,5,38,7.60,0,127,82,1130,13.78,2,1,1,2,,,127,208.8,212.8,167.8,9,25,65
66,Shaun McDonald\McDoSh00,DET,WR,26,16,7,0,0,0,0,0,4,2,0.50,0,127,79,943,11.94,6,3,2,6,,,127,205.5,210.5,166.0,8,26,66
67,Justin Fargas\FargJu00,OAK,RB,27,14,7,0,0,0,0,0,222,1009,4.55,4,32,23,188,8.17,0,3,1,4,,,142,164.7,171.7,153.2,8,23,67
68,Jay Cutler\CutlJa00,DEN,QB,24,16,16,297,467,3497,20,14,44,205,4.66,1,0,0,0,,0,11,4,1,,,210,210.4,234.4,224.4,6,10,68
69,Bernard Berrian\BerrBe00,CHI,WR,27,16,15,0,0,0,0,0,0,0,,0,128,71,951,13.39,5,1,1,5,,,123,194.1,198.1,158.6,5,27,69
70,Tony Scheffler\ScheTo00,DEN,TE,24,16,7,0,0,0,0,0,0,0,,0,65,49,549,11.20,5,1,1,5,,,83,131.9,135.9,107.4,4,10,70
71,Chris Chambers\ChamCh00,2TM,WR,29,16,12,0,0,0,0,0,3,12,4.00,0,129,66,970,14.70,4,1,,4,,,122,188.2,191.2,155.2,4,28,71
72,Donovan McNabb\McNaDo00,PHI,QB,31,14,14,291,473,3324,19,7,50,236,4.72,0,0,0,0,,0,9,6,0,,,207,206.6,225.6,213.6,2,11,72
73,Jeremy Shockey\ShocJe00,NYG,TE,27,14,14,0,0,0,0,0,1,6,6.00,0,93,57,619,10.86,3,0,,3,,,81,137.5,140.5,109.0,2,11,73
74,Reggie Williams\WillRe00,JAX,WR,24,15,6,0,0,0,0,0,1,8,8.00,0,60,38,629,16.55,10,3,2,10,,,120,157.7,162.7,138.7,1,29,74
75,Desmond Clark\ClarDe00,CHI,TE,30,16,16,0,0,0,0,0,0,0,,0,67,44,545,12.39,4,1,,4,,,79,122.5,125.5,100.5,,12,75
76,Fred McCrary\McCrFr00,SEA,,35,6,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,2,76
77,Kurt Warner\WarnKu00,ARI,QB,36,14,11,281,451,3417,27,17,17,15,0.88,1,0,0,0,,0,12,7,1,,,204,204.2,231.2,221.2,,12,77
78,Reggie Bush\BushRe00,NOR,RB,22,12,10,0,0,0,0,0,157,581,3.70,4,98,73,417,5.71,2,8,4,6,3,,134,206.8,216.8,170.3,,24,78
79,Jon Kitna\KitnJo00,DET,QB,35,16,16,355,561,4068,18,20,25,63,2.52,0,1,1,9,9.00,0,17,5,0,,,192,192.9,220.9,212.4,,13,
80,David Garrard\GarrDa00,JAX,QB,29,12,12,208,325,2509,18,3,49,185,3.78,1,0,0,0,,0,3,2,1,1,,189,188.9,199.9,191.9,,14,
81,Eli Manning\MannEl00,NYG,QB,26,16,16,297,529,3336,23,20,29,69,2.38,1,0,0,0,,0,13,7,1,,,184,184.3,214.3,204.3,,15,
82,Philip Rivers\RivePh00,SDG,QB,26,16,16,277,460,3152,21,15,29,33,1.14,1,0,0,0,,0,11,6,1,,,177,177.4,201.4,192.4,,16,
83,Jeff Garcia *\GarcJe00,TAM,QB,37,13,13,209,327,2440,13,4,35,116,3.31,1,0,0,0,,0,4,1,1,,,157,157.2,168.2,161.2,,17,
84,Vince Young\YounVi00,TEN,QB,24,15,15,238,382,2546,9,17,93,395,4.25,3,0,0,0,,0,10,4,3,,,153,153.3,180.3,170.3,,18,
85,Jason Campbell\CampJa00,WAS,QB,26,13,13,250,417,2700,12,11,36,185,5.14,1,0,0,0,,0,13,8,1,,2,147,146.5,171.5,157.5,,19,
86,Laurence Maroney\MaroLa00,NWE,RB,22,13,6,0,0,0,0,0,185,835,4.51,6,8,4,116,29.00,0,0,,6,1,,133,137.1,143.1,135.1,,25,
87,Ronnie Brown\BrowRo05,MIA,RB,26,7,7,0,0,0,0,0,119,602,5.06,4,46,39,389,9.97,1,0,,5,1,,131,170.1,176.1,150.6,,26,
88,Tarvaris Jackson\JackTa00,MIN,QB,24,12,12,171,294,1911,9,12,54,260,4.81,3,0,0,0,,0,5,3,3,2,,130,130.4,151.4,142.4,,20,
89,Ron Dayne\DaynRo00,HOU,RB,29,13,8,0,0,0,0,0,194,773,3.98,6,26,17,112,6.59,0,1,,6,,,125,141.5,147.5,133.0,,27,
90,Kevin Jones\JoneKe02,DET,RB,25,13,10,0,0,0,0,0,153,581,3.80,8,44,32,197,6.16,0,2,1,8,,,124,155.8,162.8,139.8,,28,
91,DeShaun Foster\FostDe00,CAR,RB,27,16,16,0,0,0,0,0,247,876,3.55,3,36,25,182,7.28,1,7,5,4,,,120,144.8,155.8,132.3,,29,
92,Hines Ward\WardHi00,PIT,WR,31,13,13,0,0,0,0,0,3,11,3.67,0,113,71,732,10.31,7,0,,7,1,,118,189.3,192.3,153.8,,30,
93,Donald Driver*\DrivDo00,GNB,WR,32,15,14,0,0,0,0,0,2,4,2.00,0,122,82,1048,12.78,2,1,,2,,,117,199.2,202.2,158.2,,31,
94,DeAngelo Williams\WillDe02,CAR,RB,24,16,0,0,0,0,0,0,144,717,4.98,4,38,23,175,7.61,1,1,1,5,,,117,140.2,147.2,128.7,,30,
95,Warrick Dunn\DunnWa00,ATL,RB,32,16,15,0,0,0,0,0,227,720,3.17,4,59,37,238,6.43,0,2,2,4,,,116,152.8,160.8,134.3,,31,
96,Lee Evans\EvanLe00,BUF,WR,26,16,16,0,0,0,0,0,0,0,,0,113,55,849,15.44,5,0,,5,,,115,169.9,172.9,142.4,,32,
