,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
97,Kevin Walter\WaltKe00,HOU,WR,26,16,15,0,0,0,0,0,5,30,6.00,0,106,65,800,12.31,4,0,,5,,,113,178.0,181.0,145.5,,33,
98,Maurice Morris\MorrMa00,SEA,RB,28,14,6,0,0,0,0,0,140,628,4.49,4,32,23,213,9.26,1,1,1,5,,,112,135.1,142.1,123.6,,32,
99,Roy Williams\WillRo04,DET,WR,26,12,12,0,0,0,0,0,2,1,0.50,0,105,64,838,13.09,5,2,1,5,,,112,175.9,179.9,143.9,,34,
100,Calvin Johnson\JohnCa00,DET,WR,22,15,10,0,0,0,0,0,4,52,13.00,1,93,48,756,15.75,4,1,,5,,,111,158.8,161.8,134.8,,35,
101,Cleo Lemon\LemoCl00,MIA,QB,28,9,7,173,309,1773,6,6,31,102,3.29,4,0,0,0,,0,7,3,4,,,111,111.1,126.1,117.1,,21,
102,Adrian Peterson\PeteAd00,CHI,RB,28,16,5,1,1,9,1,0,151,510,3.38,3,65,51,420,8.24,0,3,2,3,,,111,162.4,170.4,136.9,,33,
103,Patrick Crayton\CrayPa00,DAL,WR,28,15,13,0,0,0,0,0,0,0,,0,81,50,697,13.94,7,2,1,7,,,110,159.7,163.7,134.7,,36,
104,Najeh Davenport\DaveNa00,PIT,RB,28,15,1,0,0,0,0,0,107,499,4.66,5,27,18,184,10.22,2,1,,7,,,110,128.3,134.3,119.3,,34,
105,Sage Rosenfels\RoseSa00,HOU,QB,29,9,5,154,240,1684,15,12,21,51,2.43,1,0,0,0,,0,4,3,1,,1,110,110.5,128.5,122.5,,22,
106,Shaun Alexander\AlexSh00,SEA,RB,30,13,10,0,0,0,0,0,207,716,3.46,4,25,14,76,5.43,1,2,,5,,,109,123.2,126.2,116.2,,35,
107,Jerry Porter\PortJe00,OAK,WR,29,16,16,0,0,0,0,0,0,0,,0,102,44,705,16.02,6,0,,6,,,107,150.5,153.5,128.5,,37,
108,Matt Schaub\SchaMa00,HOU,QB,26,11,11,192,289,2241,9,9,17,52,3.06,0,0,0,0,,0,7,3,0,,,107,106.8,121.8,115.8,,23,
109,Reggie Brown\BrowRe01,PHI,WR,26,16,14,0,0,0,0,0,5,36,7.20,0,111,61,780,12.79,4,1,,4,,,106,166.6,169.6,136.1,,38,
110,Marc Bulger\BulgMa00,STL,QB,30,12,12,221,378,2392,11,15,9,13,1.44,0,0,0,0,,0,6,3,0,,,105,105.0,126.0,120.0,,24,
111,Joey Harrington\HarrJo00,ATL,QB,29,12,10,215,348,2215,7,8,14,33,2.36,0,1,1,4,4.00,0,0,,0,,,104,105.3,116.3,112.8,,25,
112,Damon Huard\HuarDa00,KAN,QB,34,11,10,206,332,2257,11,13,9,-1,-0.11,0,0,0,0,,0,5,3,0,,,102,102.2,121.2,115.2,,26,
113,Chad Pennington\PennCh01,NYJ,QB,31,9,8,179,260,1765,10,9,20,32,1.60,1,0,0,0,,0,5,1,1,,1,102,101.8,114.8,110.8,,27,
114,Laveranues Coles\ColeLa00,NYJ,WR,30,12,10,0,0,0,0,0,0,0,,0,89,55,646,11.75,6,0,,6,,,101,155.6,158.6,128.1,,39,
115,Cedric Benson\BensCe00,CHI,RB,25,11,11,0,0,0,0,0,196,674,3.44,4,27,17,123,7.24,0,3,2,4,,,100,116.7,124.7,108.2,,38,
116,Ronald Curry\CurrRo01,OAK,WR,28,16,13,0,1,0,0,0,1,1,1.00,0,97,55,717,13.04,4,0,,4,2,,100,154.8,157.8,127.3,,40,
117,Derrick Ward\WardDe01,NYG,RB,27,8,5,0,0,0,0,0,125,602,4.82,3,40,26,179,6.88,1,2,1,4,,,100,126.1,133.1,113.1,,36,
118,Selvin Young\YounSe00,DEN,RB,24,15,8,0,0,0,0,0,140,729,5.21,1,43,35,231,6.60,0,2,1,1,,,100,135.0,142.0,117.5,,37,
119,Larry Johnson\JohnLa00,KAN,RB,28,8,8,0,1,0,0,0,158,559,3.54,3,41,30,186,6.20,1,1,,4,,,99,128.5,134.5,113.5,,39,
120,Travis Henry\HenrTr00,DEN,RB,29,12,7,0,0,0,0,0,167,691,4.14,4,14,7,65,9.29,0,3,1,4,,,98,104.6,108.6,101.1,,40,
121,LaMont Jordan\JordLa00,OAK,RB,29,12,7,0,0,0,0,0,144,549,3.81,3,34,28,247,8.82,0,0,,3,,,98,125.6,131.6,111.6,,41,
122,Isaac Bruce\BrucIs00,STL,WR,35,14,12,0,0,0,0,0,2,-4,-2.00,0,101,55,733,13.33,4,0,,4,,,97,151.9,154.9,124.4,,41,
123,Andre' Davis\DaviAn01,HOU,WR,28,14,8,0,0,0,0,0,0,0,,0,63,33,583,17.67,3,1,,6,1,,96,129.3,132.3,112.8,,42,
124,Santana Moss\MossSa00,WAS,WR,28,14,14,0,0,0,0,0,3,13,4.33,0,115,61,808,13.25,3,2,2,3,,,96,157.1,162.1,126.6,,43,
125,Jerious Norwood\NorwJe00,ATL,RB,24,15,2,0,0,0,0,0,103,613,5.95,1,39,28,277,9.89,0,0,,1,,,95,123.0,129.0,109.0,,42,
126,David Patten\PattDa00,NOR,WR,33,16,5,0,0,0,0,0,2,-5,-2.50,0,87,54,792,14.67,3,2,1,3,,,95,148.7,152.7,121.7,,44,
127,Aaron Stecker\StecAa00,NOR,RB,32,16,6,0,0,0,0,0,115,448,3.90,5,43,36,211,5.86,0,1,1,5,,,94,129.9,136.9,111.9,,43,
128,Amani Toomer\ToomAm00,NYG,WR,33,16,15,0,0,0,0,0,0,0,,0,104,59,760,12.88,3,0,,3,,,94,153.0,156.0,123.5,,46,
129,Roydell Williams\WillRo05,TEN,WR,26,16,14,0,0,0,0,0,2,-17,-8.50,0,93,55,719,13.07,4,0,,4,,,94,149.2,152.2,121.7,,45,
130,Brandon Stokley\StokBr00,DEN,WR,31,13,9,0,0,0,0,0,1,-6,-6.00,0,71,40,635,15.88,5,0,,5,,,93,132.9,135.9,112.9,,47,
131,Arnaz Battle\BattAr00,SFO,WR,27,16,15,0,0,0,0,0,4,4,1.00,1,104,50,600,12.00,5,3,2,6,,,92,142.4,147.4,117.4,,48,
132,Leon Washington\WashLe00,NYJ,RB,25,16,4,1,1,36,0,0,71,353,4.97,3,51,36,213,5.92,0,4,2,6,1,,92,128.0,136.0,110.0,,44,
133,Julius Jones\JoneJu01,DAL,RB,26,16,16,0,0,0,0,0,164,588,3.59,2,26,23,203,8.83,0,0,,2,,,91,114.1,120.1,102.6,,45,
134,Deion Branch\BranDe00,SEA,WR,28,11,11,0,0,0,0,0,0,0,,0,85,49,661,13.49,4,0,,4,,,90,139.1,142.1,114.6,,49,
135,Brian Griese\GrieBr00,CHI,QB,32,7,6,161,262,1803,10,12,13,28,2.15,0,0,0,0,,0,6,1,0,,,89,88.9,104.9,100.9,,28,
136,Donte' Stallworth\StalDo00,NWE,WR,27,16,9,0,0,0,0,0,1,12,12.00,0,75,46,697,15.15,3,0,,3,,,89,134.9,137.9,111.9,,50,
137,Kyle Boller\BollKy00,BAL,QB,26,12,8,168,275,1743,9,10,19,89,4.68,0,1,0,0,,0,5,4,0,,,87,86.6,103.6,96.6,,29,
138,Chris Brown\BrowCh03,TEN,RB,26,12,1,0,0,0,0,0,102,462,4.53,5,21,19,128,6.74,0,1,1,5,,,87,106.0,113.0,96.5,,46,
139,Justin Gage\GageJu00,TEN,WR,26,16,8,0,0,0,0,0,0,0,,0,85,55,750,13.64,2,1,,2,,,87,142.0,145.0,114.5,,51,
140,Dennis Northcutt\NortDe00,JAX,WR,30,15,11,0,0,0,0,0,6,27,4.50,0,73,44,601,13.66,4,1,,4,,,87,130.8,133.8,108.8,,52,
141,Kenton Keith\KeitKe00,IND,RB,27,16,1,0,0,0,0,0,121,533,4.40,3,23,13,77,5.92,1,1,,4,,,85,98.0,101.0,91.5,,47,
142,Rudi Johnson\JohnRu00,CIN,RB,28,11,9,0,0,0,0,0,170,497,2.92,3,15,13,110,8.46,1,3,2,4,1,,83,95.7,103.7,89.2,,48,
143,Trent Edwards\EdwaTr01,BUF,QB,24,10,9,151,269,1630,7,8,14,49,3.50,0,0,0,0,,0,4,,0,,,82,82.1,93.1,90.1,,30,
144,Joe Jurevicius\JureJo00,CLE,WR,33,16,12,0,0,0,0,0,0,0,,0,81,50,614,12.28,3,0,,3,1,,81,131.4,134.4,106.4,,53,
145,Antwaan Randle El\RandAn00,WAS,WR,28,15,13,1,2,19,0,0,4,-3,-0.75,0,77,51,728,14.27,1,3,,1,1,,81,132.3,135.3,106.8,,54,
146,Vincent Jackson\JackVi00,SDG,WR,24,16,16,0,0,0,0,0,0,0,,0,80,41,623,15.20,3,0,,3,,,80,121.3,124.3,100.8,,55,
147,Bobby Wade\WadeBo00,MIN,WR,26,16,12,0,0,0,0,0,1,-9,-9.00,0,84,54,647,11.98,3,3,1,3,,,80,133.8,137.8,106.8,,56,
148,Daunte Culpepper\CulpDa00,OAK,QB,30,7,6,108,186,1331,5,5,20,40,2.00,3,0,0,0,,0,9,3,3,,,79,79.2,90.2,84.2,,31,
149,Michael Jenkins\JenkMi00,ATL,WR,25,15,6,0,0,0,0,0,0,0,,0,85,53,532,10.04,4,0,,4,,,77,130.2,133.2,103.7,,57,
150,Drew Carter\CartDr00,CAR,WR,26,16,7,0,0,0,0,0,0,0,,0,75,38,517,13.61,4,0,,4,,,76,113.7,116.7,94.7,,58,
151,Kellen Clemens\ClemKe00,NYJ,QB,24,10,8,130,250,1529,5,10,27,111,4.11,1,0,0,0,,0,4,1,1,,,76,76.3,93.3,86.3,,32,
152,Anthony Gonzalez\GonzAn00,IND,WR,23,13,9,0,0,0,0,0,0,0,,0,51,37,576,15.57,3,0,,3,,,76,112.6,115.6,94.1,,60,
153,James Jones\JoneJa04,GNB,WR,23,16,9,0,0,0,0,0,0,0,,0,80,47,676,14.38,2,3,2,2,,,76,122.6,127.6,99.1,,59,
154,Ben Watson\WatsBe00,NWE,TE,27,12,8,0,0,0,0,0,1,11,11.00,0,49,36,389,10.81,6,1,,6,,,76,112.0,115.0,94.0,,13,
