,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Daunte Culpepper*\CulpDa00,MIN,QB,27,16,16,379,548,4717,39,11,88,406,4.61,2,0,0,0,,0,9,5,2,1,2,371,371.3,393.3,382.3,153,1,1
2,Shaun Alexander *\AlexSh00,SEA,RB,27,16,16,0,0,0,0,0,353,1696,4.80,16,38,23,170,7.39,4,5,3,20,,,301,323.6,332.6,312.1,146,1,2
3,Tiki Barber*\BarbTi00,NYG,RB,29,16,14,0,0,0,0,0,322,1518,4.71,13,79,52,578,11.12,2,5,2,15,,,296,347.6,355.6,321.6,141,2,3
4,Peyton Manning *+\MannPe00,IND,QB,28,16,16,336,497,4557,49,10,25,38,1.52,0,0,0,0,,0,5,1,0,,,360,360.1,374.1,370.1,141,2,4
5,LaDainian Tomlinson*+\TomlLa00,SDG,RB,25,15,15,1,2,38,0,0,339,1335,3.94,17,66,53,441,8.32,1,6,2,18,,,283,336.1,344.1,309.6,129,3,5
6,Curtis Martin *+\MartCu00,NYJ,RB,31,16,16,0,0,0,0,0,371,1697,4.57,12,49,41,245,5.98,2,2,,14,,,278,319.2,325.2,298.7,124,4,6
7,Muhsin Muhammad*+\MuhaMu00,CAR,WR,31,16,16,0,0,0,0,0,3,15,5.00,0,160,93,1405,15.11,16,3,1,16,,,236,329.0,333.0,282.5,109,1,7
8,Antonio Gates*+\GateAn00,SDG,TE,24,15,15,0,0,0,0,0,0,0,,0,114,81,964,11.90,13,0,,13,,,174,255.4,258.4,214.9,105,1,8
9,Domanick Williams\DaviDo01,HOU,RB,24,15,15,0,0,0,0,0,302,1188,3.93,13,84,68,588,8.65,1,4,3,14,,,256,323.6,332.6,289.6,101,5,9
10,Edgerrin James*\JameEd00,IND,RB,26,16,16,0,0,0,0,0,334,1548,4.63,9,60,51,483,9.47,0,6,2,9,1,,255,306.1,314.1,280.6,101,6,10
11,Tony Gonzalez*\GonzTo00,KAN,TE,28,16,16,0,0,0,0,0,1,5,5.00,0,148,102,1258,12.33,7,0,,7,,,168,270.3,273.3,219.3,99,2,11
12,Corey Dillon*\DillCo00,NWE,RB,30,15,14,0,0,0,0,0,345,1635,4.74,12,21,15,103,6.87,1,5,4,13,1,,246,260.8,270.8,253.3,92,7,12
13,Joe Horn*\HornJo00,NOR,WR,32,16,16,0,0,0,0,0,0,0,,0,153,94,1399,14.88,11,0,,11,1,,208,301.9,304.9,254.9,81,2,13
14,Javon Walker*\WalkJa00,GNB,WR,26,16,12,0,0,0,0,0,0,0,,0,144,89,1382,15.53,12,2,2,12,,,206,295.2,300.2,250.7,79,3,14
15,Terrell Owens*+\OwenTe00,PHI,WR,31,14,14,0,0,0,0,0,3,-5,-1.67,0,127,77,1200,15.58,14,2,1,14,,,202,278.5,282.5,240.0,74,4,15
16,Donovan McNabb*\McNaDo00,PHI,QB,28,15,15,300,469,3875,31,8,41,220,5.37,3,0,0,0,,0,8,6,3,,,291,291.0,311.0,299.0,72,3,16
17,Marvin Harrison*\HarrMa00,IND,WR,32,16,16,0,0,0,0,0,0,0,,0,139,86,1113,12.94,15,1,1,15,,,199,285.3,289.3,242.3,72,5,17
18,Torry Holt*\HoltTo00,STL,WR,28,16,16,0,0,0,0,0,0,0,,0,135,94,1372,14.60,10,3,,10,,,197,291.2,294.2,244.2,70,6,18
19,Drew Bennett\BennDr00,TEN,WR,26,16,16,1,1,26,1,0,1,12,12.00,0,144,80,1247,15.59,11,3,,11,,,197,276.9,279.9,236.9,70,7,19
20,Reggie Wayne\WaynRe00,IND,WR,26,16,16,0,0,0,0,0,1,-4,-4.00,0,115,77,1210,15.71,12,0,,12,,,193,269.6,272.6,231.1,65,8,20
21,Jason Witten*\WittJa00,DAL,TE,22,16,15,0,0,0,0,0,0,0,,0,122,87,980,11.26,6,2,1,6,1,,134,221.0,225.0,177.5,65,3,21
22,Rudi Johnson*\JohnRu00,CIN,RB,25,16,16,0,0,0,0,0,361,1454,4.03,12,28,15,84,5.60,0,4,4,12,,,218,232.8,239.8,225.3,64,8,22
23,Chad Johnson *\JohnCh01,CIN,WR,26,16,16,0,0,0,0,0,4,39,9.75,0,170,95,1274,13.41,9,1,,9,,,185,280.3,283.3,232.8,58,9,23
24,Willis McGahee\McGaWi00,BUF,RB,23,16,11,0,0,0,0,0,284,1128,3.97,13,36,22,169,7.68,0,4,2,13,,,204,225.7,233.7,214.7,50,9,24
25,Brian Westbrook *\WestBr00,PHI,RB,25,13,12,0,0,0,0,0,177,812,4.59,3,87,73,703,9.63,6,1,1,9,,,204,276.5,283.5,240.0,49,10,25
26,Donald Driver\DrivDo00,GNB,WR,29,16,11,0,0,0,0,0,3,4,1.33,0,137,84,1208,14.38,9,2,2,9,1,,173,257.2,262.2,215.2,46,10,26
27,Alge Crumpler*\CrumAl00,ATL,TE,27,14,14,0,0,0,0,0,0,0,,0,74,48,774,16.13,6,1,1,6,,,111,159.4,163.4,135.4,42,4,27
28,Trent Green\GreeTr00,KAN,QB,34,16,16,369,556,4591,27,17,25,85,3.40,0,0,0,0,,0,11,4,0,,1,260,260.1,284.1,277.1,41,4,28
29,Clinton Portis\PortCl00,WAS,RB,23,15,15,1,2,15,1,0,343,1315,3.83,5,57,40,235,5.88,2,5,3,7,,,196,235.6,244.6,215.6,41,11,29
30,Nate Burleson\BurlNa00,MIN,WR,23,16,15,0,0,0,0,0,6,49,8.17,0,102,68,1006,14.79,9,1,,10,1,,168,235.5,238.5,201.5,40,11,30
31,Priest Holmes\HolmPr00,KAN,RB,31,8,8,0,0,0,0,0,196,892,4.55,14,25,19,187,9.84,1,4,2,15,,,194,212.9,220.9,203.4,40,12,31
32,Brandon Stokley\StokBr00,IND,WR,28,16,3,0,0,0,0,0,0,0,,0,102,68,1077,15.84,10,1,1,10,,,166,233.7,237.7,199.7,38,12,32
33,Jake Plummer\PlumJa00,DEN,QB,30,16,16,303,521,4089,27,20,62,202,3.26,1,0,0,0,,0,6,1,1,,,256,255.8,282.8,275.8,37,5,33
34,Michael Clayton\ClayMi00,TAM,WR,22,16,13,0,0,0,0,0,5,30,6.00,0,122,80,1193,14.91,7,1,,7,,,164,244.3,247.3,204.3,37,13,34
35,Brett Favre\FavrBr00,GNB,QB,35,16,16,346,540,4088,30,17,16,36,2.25,0,0,0,0,,0,4,1,0,,2,255,255.1,276.1,272.1,36,6,35
36,Reuben Droughns\DrouRe00,DEN,RB,26,16,15,0,0,0,0,0,275,1240,4.51,6,44,32,241,7.53,2,5,3,8,,,190,222.1,231.1,206.1,36,13,36
37,Randy McMichael\McMiRa01,MIA,TE,25,16,16,0,0,0,0,0,0,0,,0,118,73,791,10.84,4,2,,4,1,,105,178.1,181.1,141.6,36,5,37
38,Warrick Dunn\DunnWa00,ATL,RB,29,16,16,0,0,0,0,0,265,1106,4.17,9,39,29,294,10.14,0,3,2,9,,,190,219.0,227.0,204.5,36,14,38
39,Darrell Jackson\JackDa00,SEA,WR,26,16,16,0,0,0,0,0,0,0,,0,156,87,1199,13.78,7,2,1,7,1,,162,248.9,252.9,205.4,35,14,39
40,Ahman Green*\GreeAh00,GNB,RB,27,15,15,1,1,20,1,0,259,1163,4.49,7,51,40,275,6.88,1,7,4,8,,,189,228.6,238.6,208.6,34,15,40
