,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
23,Davante Adams\AdamDa01,GNB,WR,24,16,15,0,0,0,0,0,0,0,,0,121,75,997,13.29,12,2,1,12,1,,172,246.7,250.7,209.2,46,7,23
24,Brandin Cooks\CookBr00,NOR,WR,23,16,12,0,0,0,0,0,6,30,5.00,0,117,78,1173,15.04,8,1,0,8,,,168,246.3,249.3,207.3,42,8,24
25,Greg Olsen*\OlseGr00,CAR,TE,31,16,16,0,0,0,0,0,0,0,,0,129,80,1073,13.41,3,0,0,3,1,,127,207.3,210.3,167.3,40,2,25
26,Kirk Cousins *\CousKi00,WAS,QB,28,16,16,406,606,4917,25,12,34,96,2.82,4,0,0,0,,0,9,3,4,,,300,300.3,318.3,312.3,40,5,26
27,Frank Gore\GoreFr00,IND,RB,33,16,16,0,0,0,0,0,263,1025,3.90,4,47,38,277,7.29,4,2,1,8,,,176,214.2,221.2,195.2,39,12,27
28,Kyle Rudolph\RudoKy00,MIN,TE,27,16,16,0,0,0,0,0,0,0,,0,132,83,840,10.12,7,0,0,7,,,126,209.0,212.0,167.5,39,3,28
29,Latavius Murray\MurrLa00,OAK,RB,26,14,12,0,0,0,0,0,195,788,4.04,12,43,33,264,8.00,0,2,1,12,,,175,208.2,215.2,191.7,38,13,29
30,Michael Thomas\ThomMi05,NOR,WR,23,15,12,0,0,0,0,0,0,0,,0,121,92,1137,12.36,9,2,2,9,,,164,255.7,260.7,209.7,38,9,30
31,Jimmy Graham*\GrahJi00,SEA,TE,30,16,15,0,0,0,0,0,1,0,0.00,0,95,65,923,14.20,6,2,2,6,,,124,189.3,194.3,156.8,37,4,31
32,Delanie Walker*\WalkHu00,TEN,TE,32,15,9,0,0,0,0,0,2,11,5.50,0,102,65,800,12.31,7,1,0,7,,,123,188.1,191.1,155.6,36,5,32
33,Doug Baldwin *\BaldDo00,SEA,WR,28,16,15,1,1,15,1,0,3,2,0.67,0,125,94,1128,12.00,7,1,0,7,,,160,253.6,256.6,206.6,33,10,33
34,Tyreek Hill*+\HillTy00,KAN,WR,22,16,1,0,0,0,0,0,24,267,11.13,3,83,61,593,9.72,6,4,1,12,,,156,217.0,224.0,186.5,30,11,34
35,Isaiah Crowell\CrowIs00,CLE,RB,23,16,16,0,0,0,0,0,198,952,4.81,7,53,40,319,7.98,0,2,2,7,,,165,205.1,213.1,185.1,28,15,35
36,Carlos Hyde\HydeCa00,SFO,RB,26,13,13,0,0,0,0,0,217,988,4.55,6,33,27,163,6.04,3,5,3,9,1,,165,192.1,201.1,178.6,28,14,36
37,Cameron Brate\BratCa00,TAM,TE,25,15,10,0,0,0,0,0,0,0,,0,81,57,660,11.58,8,1,0,8,,,114,171.0,174.0,142.5,27,6,37
38,Dak Prescott *\PresDa01,DAL,QB,23,16,16,311,459,3667,23,4,57,282,4.95,6,0,0,0,,0,9,4,6,,,287,286.9,300.9,290.9,26,6,38
39,Martellus Bennett\BennMa00,NWE,TE,29,16,12,0,0,0,0,0,2,10,5.00,0,73,55,701,12.75,7,0,0,7,,,113,168.1,171.1,140.6,26,7,39
40,Michael Crabtree\CrabMi00,OAK,WR,29,16,16,0,0,0,0,0,0,0,,0,145,89,1003,11.27,8,2,0,8,1,,150,239.3,242.3,194.8,24,12,40
41,Spencer Ware\WareSp00,KAN,RB,25,14,14,0,0,0,0,0,214,921,4.30,3,42,33,447,13.55,2,4,3,5,,,161,193.8,202.8,177.3,24,16,41
42,Amari Cooper*\CoopAm00,OAK,WR,22,16,14,0,0,0,0,0,1,0,0.00,0,132,83,1153,13.89,5,2,0,5,2,,149,232.3,235.3,190.8,23,13,42
43,Lamar Miller\MillLa01,HOU,RB,25,14,14,0,0,0,0,0,268,1073,4.00,5,39,31,188,6.06,1,2,1,6,,,160,191.1,198.1,175.6,23,17,43
44,Tevin Coleman\ColeTe01,ATL,RB,23,13,0,0,0,0,0,0,118,520,4.41,8,40,31,421,13.58,3,1,0,11,,,160,191.1,197.1,175.6,23,18,44
45,Tyrell Williams\WillTy00,SDG,WR,24,16,12,0,0,0,0,0,0,0,,0,119,69,1059,15.35,7,0,0,7,,,148,216.9,219.9,182.4,22,14,45
46,Rishard Matthews\MattRi00,TEN,WR,27,16,9,0,0,0,0,0,0,0,,0,108,65,945,14.54,9,1,1,9,,,147,211.5,215.5,179.0,20,15,46
47,Matthew Stafford\StafMa00,DET,QB,28,16,16,388,594,4327,24,10,37,207,5.59,2,1,0,0,,0,3,2,2,,1,280,279.8,297.8,289.8,19,7,47
48,Jeremy Hill\HillJe01,CIN,RB,24,15,13,0,0,0,0,0,222,839,3.78,9,27,21,174,8.29,0,0,0,9,,,155,176.3,182.3,165.8,18,19,48
49,Zach Ertz\ErtzZa00,PHI,TE,26,14,12,0,0,0,0,0,0,0,,0,106,78,816,10.46,4,0,0,4,,,106,183.6,186.6,144.6,18,8,49
50,Todd Gurley\GurlTo01,LAR,RB,22,16,16,0,0,0,0,0,278,885,3.18,6,58,43,327,7.60,0,2,1,6,,,155,198.2,205.2,176.7,18,20,50
51,Matt Forte\FortMa00,NYJ,RB,31,14,13,0,0,0,0,0,218,813,3.73,7,43,30,263,8.77,1,1,1,8,,,154,183.6,190.6,168.6,17,21,51
52,Jordan Reed*\ReedJo02,WAS,TE,26,12,8,0,0,0,0,0,0,0,,0,89,66,686,10.39,6,1,1,6,,,103,168.6,172.6,135.6,15,9,52
53,Jarvis Landry *\LandJa00,MIA,WR,24,16,16,0,1,0,0,0,5,17,3.40,0,131,94,1136,12.09,4,2,2,4,1,,137,231.3,236.3,184.3,11,16,53
54,Larry Fitzgerald*\FitzLa00,ARI,WR,33,16,16,0,1,0,0,0,2,5,2.50,0,150,107,1023,9.56,6,2,1,6,,,137,243.8,247.8,190.3,11,17,54
55,Tyrod Taylor\TaylTy00,BUF,QB,27,15,15,269,436,3023,17,6,95,580,6.11,6,0,0,0,,0,4,2,6,1,1,271,270.9,284.9,276.9,10,8,55
56,Terrelle Pryor\PryoTe00,CLE,WR,27,16,15,5,9,41,0,0,8,21,2.63,1,140,77,1007,13.08,4,1,0,5,1,,136,213.4,216.4,174.9,10,18,56
57,Demaryius Thomas*\ThomDe03,DEN,WR,29,16,16,0,0,0,0,0,0,0,,0,144,90,1083,12.03,5,2,2,5,,1,136,226.3,231.3,181.3,10,19,57
58,Blake Bortles\BortBl00,JAX,QB,24,16,16,368,625,3905,23,16,58,359,6.19,3,1,1,20,20.00,1,8,6,4,1,1,270,271.1,299.1,286.6,9,9,58
59,Kelvin Benjamin\BenjKe00,CAR,WR,25,16,13,0,0,0,0,0,0,0,,0,118,63,941,14.94,7,1,1,7,,,134,197.1,201.1,165.6,8,20,59
60,Derek Carr*\CarrDe02,OAK,QB,25,15,15,357,560,3937,28,6,39,70,1.79,0,0,0,0,,0,5,3,0,,5,268,268.5,280.5,274.5,8,10,60
61,Antonio Gates\GateAn00,SDG,TE,36,14,9,0,0,0,0,0,0,0,,0,93,53,548,10.34,7,1,1,7,,,95,147.8,151.8,121.3,8,10,61
62,Russell Wilson\WilsRu00,SEA,QB,28,16,16,353,546,4219,21,11,72,259,3.60,1,2,2,14,7.00,1,8,2,2,,1,268,270.1,289.1,280.1,7,11,62
63,Emmanuel Sanders *\SandEm00,DEN,WR,29,16,16,0,0,0,0,0,1,4,4.00,0,137,79,1032,13.06,5,1,0,5,,,134,212.6,215.6,173.1,7,21,63
64,Hunter Henry\HenrHu00,SDG,TE,22,15,10,0,0,0,0,0,0,0,,0,53,36,478,13.28,8,1,1,8,,,94,129.8,133.8,111.8,7,11,64
65,Julian Edelman\EdelJu00,NWE,WR,30,16,13,0,0,0,0,0,12,57,4.75,0,159,98,1106,11.29,3,3,2,3,1,,132,230.3,235.3,181.3,6,22,65
66,Golden Tate\TateGo00,DET,WR,28,16,16,0,0,0,0,0,10,4,0.40,0,135,91,1077,11.84,4,2,1,4,1,,132,223.1,227.1,177.6,6,23,66
67,Mike Wallace\WallMi00,BAL,WR,30,16,16,0,0,0,0,0,5,31,6.20,0,116,72,1017,14.13,4,1,0,4,1,,131,202.8,205.8,166.8,5,24,67
68,Jamison Crowder\CrowJa00,WAS,WR,23,16,9,0,0,0,0,0,2,-2,-1.00,0,99,67,847,12.64,7,2,1,8,,,131,197.5,201.5,164.0,4,25,68
69,Dez Bryant*\BryaDe01,DAL,WR,28,13,13,1,1,10,1,0,0,0,,0,96,50,796,15.92,8,1,1,8,,,130,180.0,184.0,155.0,4,26,69
70,Bilal Powell\PoweBi00,NYJ,RB,28,16,4,0,0,0,0,0,131,722,5.51,3,74,58,388,6.69,2,1,1,5,,,139,197.0,204.0,168.0,2,22,70
71,Kenny Britt\BritKe00,LAR,WR,28,15,15,0,0,0,0,0,0,0,,0,111,68,1002,14.74,5,2,1,5,,,128,196.2,200.2,162.2,2,27,71
72,Jonathan Stewart\StewJo00,CAR,RB,29,13,13,0,0,0,0,0,218,824,3.78,9,21,8,60,7.50,0,3,2,9,,,138,146.4,151.4,142.4,1,23,72
73,Kenny Stills\StilKe00,MIA,WR,24,16,16,0,0,0,0,0,0,0,,0,81,42,726,17.29,9,0,0,9,,,127,168.6,171.6,147.6,,28,73
74,Allen Robinson\RobiAl02,JAX,WR,23,16,16,0,0,0,0,0,0,0,,0,151,73,883,12.10,6,1,0,6,1,,126,199.3,202.3,162.8,,29,74
75,Andy Dalton*\DaltAn00,CIN,QB,29,16,16,364,563,4206,18,8,46,184,4.00,4,0,0,0,,0,9,3,4,,,261,260.6,277.6,268.6,,12,75
76,Coby Fleener\FleeCo00,NOR,TE,28,16,8,0,0,0,0,0,1,2,2.00,1,81,50,631,12.62,3,2,0,4,,,87,137.3,140.3,112.3,,12,76
77,Adam Thielen\ThieAd00,MIN,WR,26,16,10,0,0,0,0,0,2,15,7.50,0,92,69,967,14.01,5,2,1,5,,,126,195.2,199.2,160.7,,30,77
78,Terrance West\WestTe00,BAL,RB,25,16,13,0,0,0,0,0,193,774,4.01,5,45,34,236,6.94,1,2,0,6,,,137,171.0,177.0,154.0,,24,78
79,Marcus Mariota\MariMa01,TEN,QB,23,15,15,276,451,3426,26,9,60,349,5.82,2,1,0,0,,0,9,5,2,,,260,259.9,279.9,268.9,,13,
80,Tom Brady *\BradTo00,NWE,QB,39,12,12,291,432,3554,28,2,28,64,2.29,0,0,0,0,,0,5,0,0,,1,259,258.6,263.6,260.6,,15,
81,Philip Rivers*\RivePh00,SDG,QB,35,16,16,349,578,4386,33,21,14,35,2.50,0,0,0,0,,0,9,5,0,,,259,258.9,287.9,279.9,,14,
82,Jameis Winston\WinsJa00,TAM,QB,22,16,16,345,567,4090,28,18,53,165,3.11,1,0,0,0,,0,10,6,1,,3,256,256.1,286.1,274.1,,16,
83,Cam Newton\NewtCa00,CAR,QB,27,15,14,270,510,3509,19,14,90,359,3.99,5,0,0,0,,0,3,2,5,1,1,254,254.3,276.3,268.3,,17,
84,Ben Roethlisberger*\RoetBe00,PIT,QB,34,14,14,328,509,3819,29,13,16,14,0.88,1,0,0,0,,0,8,2,1,,3,252,252.2,270.2,265.2,,18,
85,Carson Palmer\PalmCa00,ARI,QB,37,15,15,364,597,4233,26,14,14,38,2.71,0,0,0,0,,0,14,4,0,,1,243,243.1,264.1,257.1,,19,
86,Joe Flacco\FlacJo00,BAL,QB,31,16,16,436,672,4317,20,15,21,58,2.76,2,0,0,0,,0,5,3,2,,4,242,242.5,263.5,257.5,,20,
87,Eli Manning\MannEl00,NYG,QB,35,16,16,377,598,4027,26,16,21,-9,-0.43,0,0,0,0,,0,7,4,0,,,224,224.2,247.2,240.2,,21,
88,Alex Smith*\SmitAl03,KAN,QB,32,15,15,328,489,3502,15,8,48,134,2.79,5,1,1,3,3.00,0,7,4,5,,2,224,224.8,242.8,232.3,,22,
89,Sam Bradford\BradSa00,MIN,QB,29,15,15,395,552,3877,20,5,20,53,2.65,0,1,1,5,5.00,0,10,5,0,,,221,221.9,234.9,226.4,,23,
90,Carson Wentz\WentCa00,PHI,QB,24,16,16,379,607,3782,16,14,46,150,3.26,2,1,1,7,7.00,0,14,3,2,1,1,213,214.0,237.0,227.5,,24,
91,Colin Kaepernick\KaepCo00,SFO,QB,29,12,11,196,331,2241,16,4,69,468,6.78,2,0,0,0,,0,9,3,2,1,,200,200.4,213.4,204.4,,25,
92,Trevor Siemian\SiemTr00,DEN,QB,25,14,14,289,486,3401,18,10,28,57,2.04,0,0,0,0,,0,4,2,0,1,,192,191.7,206.7,201.7,,26,
93,Ryan Tannehill\TannRy00,MIA,QB,28,13,13,261,389,2995,19,12,39,164,4.21,1,0,0,0,,0,9,3,1,,1,190,190.2,211.2,202.2,,27,
94,Brock Osweiler\OsweBr00,HOU,QB,26,15,14,301,510,2957,15,16,30,131,4.37,2,1,1,-14,-14.00,0,5,1,2,,,168,169.0,192.0,184.5,,28,
95,Ryan Fitzpatrick\FitzRy00,NYJ,QB,34,14,11,228,403,2710,12,17,33,130,3.94,0,0,0,0,,0,9,1,0,,,133,133.4,157.4,150.4,,29,
96,Ryan Mathews\MathRy00,PHI,RB,29,13,8,0,0,0,0,0,155,661,4.26,8,14,13,115,8.85,1,3,2,9,2,,132,144.6,152.6,138.1,,25,
97,DeSean Jackson\JackDe00,WAS,WR,30,15,15,0,0,0,0,0,0,0,,0,100,56,1005,17.95,4,0,0,4,,,125,180.5,183.5,152.5,,31,
98,Pierre Garcon\GarcPi00,WAS,WR,30,16,16,0,0,0,0,0,0,0,,0,114,79,1041,13.18,3,0,0,3,,,122,201.1,204.1,161.6,,32,
99,Brandon LaFell\LaFeBr00,CIN,WR,30,16,14,0,0,0,0,0,1,-2,-2.00,0,107,64,862,13.47,6,0,0,6,,,122,186.0,189.0,154.0,,33,
100,Robert Kelley\KellRo00,WAS,RB,24,15,9,0,0,0,0,0,168,704,4.19,6,18,12,82,6.83,1,0,0,7,,,121,132.6,135.6,126.6,,26,
101,A.J. Green*\GreeA.00,CIN,WR,28,10,10,0,0,0,0,0,0,0,,0,100,66,964,14.61,4,0,0,4,,,120,186.4,189.4,153.4,,34,
102,Willie Snead\SneaWi00,NOR,WR,24,15,4,1,1,50,1,0,0,0,,0,104,72,895,12.43,4,2,0,4,,,120,191.5,194.5,155.5,,35,
103,DeAndre Hopkins\HopkDe00,HOU,WR,24,16,16,0,0,0,0,0,0,0,,0,151,78,954,12.23,4,0,0,4,,,119,197.4,200.4,158.4,,36,
104,Sterling Shepard\ShepSt00,NYG,WR,23,16,16,0,0,0,0,0,3,31,10.33,0,105,65,683,10.51,8,0,0,8,,,119,184.4,187.4,151.9,,37,
105,Mike Gillislee\GillMi00,BUF,RB,26,15,1,0,0,0,0,0,101,577,5.71,8,11,9,50,5.56,1,1,0,9,,,117,125.7,128.7,121.2,,27,
106,Marvin Jones\JoneMa02,DET,WR,26,15,15,0,0,0,0,0,1,3,3.00,0,103,55,930,16.91,4,0,0,4,,,117,172.3,175.3,144.8,,38,
107,Marqise Lee\LeexMa00,JAX,WR,25,16,6,1,1,20,1,0,6,35,5.83,0,105,63,851,13.51,3,1,1,4,,,115,178.4,182.4,146.9,,39,
108,Christine Michael\MichCh00,2TM,RB,26,15,7,0,0,0,0,0,148,583,3.94,7,29,22,107,4.86,1,2,1,8,,,115,137.0,144.0,126.0,,28,
109,Cole Beasley\BeasCo00,DAL,WR,27,16,6,0,1,0,0,0,1,7,7.00,0,98,75,833,11.11,5,0,0,5,,,114,189.0,192.0,151.5,,40,
110,Steve Smith\SmitSt01,BAL,WR,37,14,14,0,0,0,0,0,0,0,,0,101,70,799,11.41,5,0,0,5,2,,114,183.9,186.9,148.9,,41,
111,Cameron Meredith\MereCa00,CHI,WR,24,14,10,1,1,2,1,0,1,6,6.00,0,97,66,888,13.45,4,3,2,4,,,113,179.5,184.5,146.5,,42,
112,Devontae Booker\BookDe00,DEN,RB,24,16,6,0,0,0,0,0,174,612,3.52,4,45,31,265,8.55,1,4,3,5,,,112,142.7,151.7,127.2,,29,
113,Quincy Enunwa\EnunQu00,NYJ,WR,24,16,13,0,0,0,0,0,1,12,12.00,0,105,58,857,14.78,4,0,0,4,,,111,168.9,171.9,139.9,,43,
114,Case Keenum\KeenCa00,LAR,QB,28,10,9,196,322,2201,9,11,20,51,2.55,1,0,0,0,,0,5,1,1,,,111,111.1,126.1,122.1,,30,
115,Stefon Diggs\DiggSt00,MIN,WR,23,13,11,0,0,0,0,0,3,10,3.33,0,112,84,903,10.75,3,0,0,3,,,109,193.3,196.3,151.3,,44,
116,Theo Riddick\RiddTh00,DET,RB,25,10,8,0,0,0,0,0,92,357,3.88,1,67,53,371,7.00,5,0,0,6,,,109,161.8,167.8,135.3,,30,
117,Anquan Boldin\BoldAn00,DET,WR,36,16,16,0,0,0,0,0,0,0,,0,95,67,584,8.72,8,0,0,8,,,106,173.4,176.4,139.9,,45,
118,Taylor Gabriel\GabrTa00,ATL,WR,25,13,3,0,0,0,0,0,4,51,12.75,1,50,35,579,16.54,6,0,0,7,,,105,140.0,143.0,122.5,,48,
119,Tim Hightower\HighTi00,NOR,RB,30,16,1,0,0,0,0,0,133,548,4.12,4,26,22,200,9.09,1,0,0,5,,,105,126.8,132.8,115.8,,32,
120,Dontrelle Inman\InmaDo00,SDG,WR,27,16,16,0,0,0,0,0,0,0,,0,97,58,810,13.97,4,0,0,4,,,105,163.0,166.0,134.0,,47,
121,Jerick McKinnon\McKiJe00,MIN,RB,24,15,7,0,1,0,0,0,159,539,3.39,2,53,43,255,5.93,2,0,0,4,1,,105,148.4,154.4,126.9,,31,
122,JJ Nelson\NelsJJ00,ARI,WR,24,15,6,0,0,0,0,0,4,83,20.75,1,74,34,568,16.71,6,1,1,7,,,105,139.1,143.1,122.1,,46,
123,Rashad Jennings\JennRa00,NYG,RB,31,13,12,0,0,0,0,0,181,593,3.28,3,42,35,201,5.74,1,1,0,4,,,103,138.4,144.4,120.9,,33,
124,James White\WhitJa02,NWE,RB,24,16,4,0,0,0,0,0,39,166,4.26,0,86,60,551,9.18,5,0,0,5,,,102,161.7,167.7,131.7,,34,
125,Chris Thompson\ThomCh03,WAS,RB,26,16,0,0,0,0,0,0,68,356,5.24,3,62,49,349,7.12,2,2,1,5,,,99,147.5,154.5,123.0,,35,
126,Jordan Matthews\MattJo00,PHI,WR,24,14,13,0,0,0,0,0,0,0,,0,117,73,804,11.01,3,1,0,3,,,98,171.4,174.4,134.9,,49,
127,DeVante Parker\ParkDe01,MIA,WR,23,15,8,0,0,0,0,0,0,0,,0,87,56,744,13.29,4,0,0,4,,,98,154.4,157.4,126.4,,50,
128,Brandon Marshall\MarsBr00,NYJ,WR,32,15,15,0,0,0,0,0,0,0,,0,128,59,788,13.36,3,0,0,3,,,97,155.8,158.8,126.3,,51,
129,Ty Montgomery\MontTy01,GNB,RB,23,15,6,0,0,0,0,0,77,457,5.94,3,56,44,348,7.91,0,2,1,3,,,97,140.5,147.5,118.5,,36,
130,Alshon Jeffery\JeffAl00,CHI,WR,26,12,12,0,0,0,0,0,0,0,,0,94,52,821,15.79,2,0,0,2,,,94,146.1,149.1,120.1,,52,
131,Derrick Henry\HenrDe00,TEN,RB,22,15,2,0,0,0,0,0,110,490,4.45,5,15,13,137,10.54,0,0,0,5,,,93,105.7,111.7,99.2,,37,
132,Chris Hogan\HogaCh00,NWE,WR,29,15,14,0,0,0,0,0,3,9,3.00,0,58,38,680,17.89,4,1,1,4,,,91,128.9,132.9,109.9,,53,
133,Duke Johnson\JohnDu00,CLE,RB,23,16,1,0,1,0,0,0,73,358,4.90,1,74,53,514,9.70,0,2,1,1,,,91,144.2,151.2,117.7,,38,
134,Mohamed Sanu\SanuMo00,ATL,WR,27,15,15,0,0,0,0,0,1,5,5.00,0,81,59,653,11.07,4,1,1,4,1,,90,148.8,152.8,119.3,,54,
135,Tavon Austin\AustTa00,LAR,WR,26,15,15,0,0,0,0,0,28,159,5.68,1,106,58,509,8.78,3,5,1,4,,,89,146.8,153.8,117.8,,55,
136,Randall Cobb\CobbRa00,GNB,WR,26,13,10,0,0,0,0,0,10,33,3.30,0,84,60,610,10.17,4,1,0,4,,,88,148.3,151.3,118.3,,56,
137,T.J. Yeldon\YeldT.00,JAX,RB,23,15,13,0,0,0,0,0,130,465,3.58,1,68,50,312,6.24,1,2,1,2,,,88,137.7,144.7,112.7,,39,
138,C.J. Anderson\AndeC.00,DEN,RB,25,7,7,0,0,0,0,0,110,437,3.97,4,24,16,128,8.00,1,0,0,5,,,87,102.5,108.5,94.5,,40,
139,Jalen Richard\RichJa01,OAK,RB,23,16,0,0,0,0,0,0,83,491,5.92,1,39,29,194,6.69,2,0,0,3,,,87,115.5,121.5,101.0,,41,
140,Jack Doyle\DoylJa00,IND,TE,26,16,14,0,0,0,0,0,0,0,,0,75,59,584,9.90,5,1,1,5,,,86,145.4,149.4,115.9,,13,
141,Travis Benjamin\BenjTr00,SDG,WR,27,14,8,0,1,0,0,0,2,-3,-1.50,0,75,47,677,14.40,4,5,3,4,,,85,132.4,138.4,108.9,,57,
142,Giovani Bernard\BernGi00,CIN,RB,25,10,2,0,0,0,0,0,91,337,3.70,2,51,39,336,8.62,1,1,1,3,,,83,122.3,129.3,102.8,,42,
143,Eric Ebron\EbroEr00,DET,TE,23,13,13,0,0,0,0,0,1,1,1.00,1,85,61,711,11.66,1,0,0,2,,,83,144.2,147.2,113.7,,15,
144,Jeremy Kerley\KerlJe00,SFO,WR,28,16,13,0,0,0,0,0,0,0,,0,115,64,667,10.42,3,4,1,3,,,83,146.7,150.7,114.7,,59,
145,Tyler Lockett\LockTy00,SEA,WR,24,15,9,0,0,0,0,0,6,114,19.00,1,66,41,597,14.56,1,0,0,2,,,83,124.1,130.1,103.6,,58,
146,Dennis Pitta\PittDe00,BAL,TE,31,16,12,0,0,0,0,0,0,0,,0,121,86,729,8.48,2,1,1,2,,,83,168.9,172.9,125.9,,16,
147,Jason Witten\WittJa00,DAL,TE,34,16,16,0,0,0,0,0,0,0,,0,95,69,673,9.75,3,1,1,3,,,83,152.3,156.3,117.8,,14,
148,Robert Turbin\TurbRo00,IND,RB,27,15,0,0,0,0,0,0,47,164,3.49,7,35,26,179,6.88,1,0,0,8,,,82,108.3,114.3,95.3,,43,
149,DeAngelo Williams\WillDe02,PIT,RB,33,9,4,0,0,0,0,0,98,343,3.50,4,27,18,118,6.56,2,0,0,6,,,82,100.1,106.1,91.1,,44,
150,Will Fuller\FullWi01,HOU,WR,22,14,13,0,0,0,0,0,1,-3,-3.00,0,92,47,635,13.51,2,2,0,3,,,81,128.2,131.2,104.7,,61,
151,Terrance Williams\WillTe01,DAL,WR,27,16,15,0,0,0,0,0,0,0,,0,61,44,594,13.50,4,1,1,4,,,81,125.4,129.4,103.4,,60,
152,Shaun Draughn\DrauSh00,SFO,RB,29,16,1,0,0,0,0,0,74,196,2.65,4,39,29,263,9.07,2,1,1,6,,,80,108.9,115.9,94.4,,45,
