,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
40,Muhsin Muhammad\MuhaMu00,CAR,WR,27,16,16,0,0,0,0,0,2,12,6.00,0,156,102,1183,11.60,6,1,,6,,,156,257.5,260.5,206.5,45,16,40
41,Corey Dillon*\DillCo00,CIN,RB,26,16,16,0,0,0,0,0,315,1435,4.56,7,26,18,158,8.78,0,4,3,7,,,195,213.3,222.3,204.3,44,17,41
42,Freddie Jones\JoneFr00,SDG,TE,26,16,16,0,0,0,0,0,0,0,,0,126,71,766,10.79,5,3,2,5,,,103,173.6,178.6,138.1,42,3,42
43,Ricky Williams\WillRi00,NOR,RB,23,10,10,1,1,34,0,0,248,1000,4.03,8,55,44,409,9.30,1,6,3,9,,,190,234.3,243.3,212.3,39,18,43
44,Jerome Bettis\BettJe00,PIT,RB,28,16,16,0,2,0,0,1,355,1341,3.78,8,19,13,97,7.46,0,1,,8,,,190,202.8,206.8,197.3,39,19,44
45,Mark Brunell\BrunMa00,JAX,QB,30,16,16,311,512,3640,20,14,48,236,4.92,2,0,0,0,,0,7,4,2,,1,227,227.2,251.2,241.2,35,7,45
46,Keenan McCardell\McCaKe00,JAX,WR,30,16,16,0,0,0,0,0,0,0,,0,140,94,1207,12.84,5,3,3,5,,,145,238.7,244.7,191.7,34,17,46
47,Antonio Freeman\FreeAn00,GNB,WR,28,15,15,0,0,0,0,0,2,5,2.50,0,120,62,912,14.71,9,1,1,9,,,144,205.7,209.7,174.7,33,18,47
48,Kyle Brady\BradKy00,JAX,TE,28,16,15,0,0,0,0,0,0,0,,0,94,64,729,11.39,3,0,,3,1,,93,156.9,159.9,124.9,32,4,48
49,Wayne Chrebet\ChreWa00,NYJ,WR,27,16,16,0,0,0,0,0,3,-3,-1.00,0,143,69,937,13.58,8,0,,8,,,141,210.4,213.4,175.9,31,19,49
50,Chad Lewis*\LewiCh00,PHI,TE,29,16,16,0,0,0,0,0,0,0,,0,110,69,735,10.65,3,0,,3,,,92,160.5,163.5,126.0,31,5,50
51,Shaun King\KingSh00,TAM,QB,23,16,16,233,428,2769,18,13,73,353,4.84,5,0,0,0,,0,4,1,5,1,,222,222.1,242.1,235.1,30,8,51
52,Frank Wycheck*\WychFr00,TEN,TE,29,16,16,2,2,53,1,0,0,0,,0,109,70,636,9.09,4,2,3,4,,,88,157.7,163.7,122.7,27,6,52
53,Terry Glenn\GlenTe00,NWE,WR,26,16,16,0,0,0,0,0,4,39,9.75,0,163,79,963,12.19,6,0,,6,,,136,215.2,218.2,175.7,25,20,53
54,Tyrone Wheatley\WheaTy00,OAK,RB,28,14,13,0,0,0,0,0,232,1046,4.51,9,34,20,156,7.80,1,4,3,10,,,174,194.2,203.2,184.2,23,20,54
55,Kerry Collins\CollKe00,NYG,QB,28,16,16,311,529,3610,22,13,41,65,1.59,1,0,0,0,,0,7,2,1,,,215,214.9,232.9,227.9,23,9,55
56,Emmitt Smith\SmitEm00,DAL,RB,31,16,16,0,0,0,0,0,294,1203,4.09,9,14,11,79,7.18,0,6,5,9,,,172,183.2,191.2,177.7,21,21,56
57,Keyshawn Johnson\JohnKe00,TAM,WR,28,16,16,0,0,0,0,0,2,5,2.50,0,122,71,874,12.31,8,2,2,8,,,132,202.9,207.9,167.4,21,21,57
58,Jamal Anderson\AndeJa00,ATL,RB,28,16,16,0,0,0,0,0,282,1024,3.63,6,58,42,382,9.10,0,6,4,6,1,,171,212.6,222.6,191.6,20,22,58
59,Ike Hilliard\HillIk00,NYG,WR,24,14,14,0,0,0,0,0,3,19,6.33,0,105,55,787,14.31,8,0,,8,,,129,183.6,186.6,156.1,18,22,59
60,Derrick Mason*+\MasoDe00,TEN,WR,26,16,10,0,0,0,0,0,1,1,1.00,0,89,63,895,14.21,5,1,,6,,,126,188.6,191.6,157.1,15,23,60
61,Troy Brown\BrowTr00,NWE,WR,29,16,15,0,0,0,0,0,6,46,7.67,0,119,83,944,11.37,4,2,2,5,,,125,208.0,213.0,166.5,14,24,61
62,Brett Favre\FavrBr00,GNB,QB,31,16,16,338,580,3812,20,16,27,108,4.00,0,0,0,0,,0,9,5,0,,2,205,205.3,232.3,221.3,13,10,62
63,Bill Schroeder\SchrBi00,GNB,WR,29,16,16,0,0,0,0,0,2,11,5.50,0,119,65,999,15.37,4,1,1,4,,,123,188.0,192.0,155.5,12,25,63
64,Ken Dilger\DilgKe00,IND,TE,29,16,16,0,0,0,0,0,0,0,,0,72,47,538,11.45,3,1,1,3,,,70,116.8,120.8,93.3,9,7,64
65,Michael Pittman\PittMi00,ARI,RB,25,16,12,0,0,0,0,0,184,719,3.91,4,91,73,579,7.93,2,5,3,6,,,160,232.8,241.8,196.3,9,23,65
66,Jerry Rice\RiceJe00,SFO,WR,38,16,16,0,1,0,0,0,1,-2,-2.00,0,122,75,805,10.73,7,3,2,7,,,118,193.3,198.3,155.8,7,26,66
67,Dwayne Carswell\CarsDw00,DEN,TE,28,16,16,0,0,0,0,0,0,0,,0,64,49,495,10.10,3,0,,3,,,68,116.5,119.5,92.0,7,8,67
68,Jay Riemersma\RiemJa00,BUF,TE,27,12,12,0,0,0,0,0,0,0,,0,60,31,372,12.00,5,1,1,5,,,65,96.2,100.2,80.7,4,9,68
69,Oronde Gadsden\GadsOr00,MIA,WR,29,16,16,0,0,0,0,0,0,0,,0,93,56,786,14.04,6,0,,6,,,115,170.6,173.6,142.6,4,27,69
70,Peter Warrick\WarrPe00,CIN,WR,23,16,16,0,0,0,0,0,16,148,9.25,2,126,51,592,11.61,4,2,1,7,,,114,165.0,172.0,139.5,3,28,70
71,Marcus Pollard\PollMa00,IND,TE,28,16,14,0,0,0,0,0,0,0,,0,42,30,439,14.63,3,0,,3,1,,64,93.9,96.9,78.9,3,10,71
72,Jeff Graham\GrahJe00,SDG,WR,31,14,13,0,0,0,0,0,0,0,,0,112,55,907,16.49,4,1,1,4,,,113,167.7,171.7,140.2,2,29,72
73,Drew Bledsoe\BledDr00,NWE,QB,28,16,16,312,531,3291,17,13,47,158,3.36,2,0,0,0,,0,9,4,2,,,193,193.4,216.4,206.4,2,11,73
74,Jackie Harris\HarrJa00,DAL,TE,32,16,7,0,0,0,0,0,0,0,,0,56,39,306,7.85,5,0,,5,1,,63,101.6,104.6,82.1,2,11,74
75,Steve Beuerlein\BeueSt00,CAR,QB,35,16,16,324,533,3730,19,18,44,106,2.41,1,0,0,0,,0,9,8,1,1,,192,191.8,223.8,209.8,,12,75
76,Charles Evans\EvanCh00,BAL,,33,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,0,,0,,,,,,,,5,76
77,Charles Kirby\KirbCh20,TAM,,26,6,2,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,,,,,,,,3,77
78,Frank Sanders\SandFr00,ARI,WR,27,16,16,0,0,0,0,0,0,0,,0,116,54,749,13.87,6,0,,6,,,111,164.9,167.9,137.9,,30,78
79,Kurt Warner*\WarnKu00,STL,QB,29,11,11,235,347,3429,21,18,18,17,0.94,0,0,0,0,,0,4,1,0,,2,189,188.9,210.9,206.9,,13,
80,Brian Griese*\GrieBr00,DEN,QB,25,10,10,216,336,2688,19,4,29,102,3.52,1,0,0,0,,0,5,3,1,,1,188,187.7,200.7,191.7,,14,
81,Kordell Stewart\StewKo00,PIT,QB,28,16,11,151,289,1860,11,8,78,436,5.59,7,0,0,0,,0,8,3,7,,,182,182.0,199.0,190.0,,16,
82,Vinny Testaverde\TestVi00,NYJ,QB,37,16,16,328,590,3732,21,25,25,32,1.28,0,0,0,0,,0,7,4,0,,2,182,182.5,214.5,207.5,,15,
83,Steve McNair*\McNaSt00,TEN,QB,27,16,15,248,396,2847,15,13,72,403,5.60,0,0,0,0,,0,12,4,0,,,180,180.2,203.2,193.2,,17,
84,Jay Fiedler\FiedJa00,MIA,QB,29,15,15,204,357,2402,14,14,54,267,4.94,1,0,0,0,,0,2,2,1,,,153,152.8,174.8,166.8,,18,
85,James Allen\AlleJa00,CHI,RB,25,16,15,0,0,0,0,0,290,1120,3.86,2,60,39,291,7.46,1,5,4,3,,,151,190.1,200.1,170.6,,24,
86,Rob Johnson\JohnRo00,BUF,QB,27,12,11,175,306,2125,12,7,42,307,7.31,1,1,1,-6,-6.00,0,4,2,1,,,151,152.1,167.1,158.6,,19,
87,Tony Richardson\RichTo00,KAN,RB,29,16,16,0,0,0,0,0,147,697,4.74,3,75,58,468,8.07,3,3,2,6,,,149,206.5,214.5,177.5,,25,
88,Charlie Batch\BatcCh00,DET,QB,26,15,15,221,412,2489,13,15,44,199,4.52,2,0,0,0,,0,6,3,2,,,147,147.5,171.5,162.5,,20,
89,Jon Kitna\KitnJo00,SEA,QB,28,15,12,259,418,2658,18,19,48,127,2.65,1,0,0,0,,0,17,6,1,,,147,147.0,178.0,166.0,,21,
90,Trent Green\GreeTr00,STL,QB,30,8,5,145,240,2063,16,5,20,69,3.45,1,0,0,0,,0,3,2,1,,,145,145.4,155.4,150.4,,22,
91,Jake Plummer\PlumJa00,ARI,QB,26,14,14,270,475,2946,13,21,37,183,4.95,0,0,0,0,,0,8,3,0,,,140,140.1,170.1,161.1,,23,
92,Jeff Blake\BlakJe00,NOR,QB,30,11,11,184,302,2025,13,9,57,243,4.26,1,0,0,0,,0,7,3,1,,,139,139.3,157.3,148.3,,24,
93,Kevin Faulk\FaulKe00,NWE,RB,24,16,9,0,0,0,0,0,164,570,3.48,4,68,51,465,9.12,1,6,4,5,1,,128,178.5,188.5,153.0,,26,
94,Cade McNown\McNoCa00,CHI,QB,23,10,9,154,280,1646,8,9,50,326,6.52,3,0,0,0,,0,8,3,3,,,124,124.4,142.4,133.4,,25,
95,Brad Johnson\JohnBr00,WAS,QB,32,12,11,228,365,2505,11,15,22,58,2.64,1,0,0,0,,0,5,3,1,,,120,120.0,141.0,135.0,,26,
96,Travis Prentice\PrenTr00,CLE,RB,24,16,11,0,0,0,0,0,173,512,2.96,7,43,37,191,5.16,1,2,1,8,,,116,153.3,160.3,134.8,,27,
97,Tim Biakabutuka\BiakTi00,CAR,RB,26,12,11,0,0,0,0,0,173,627,3.62,2,58,34,341,10.03,2,4,3,4,,,115,148.8,157.8,131.8,,28,
98,Aaron Brooks\BrooAa00,NOR,QB,24,8,5,113,194,1514,9,6,41,170,4.15,2,0,0,0,,0,4,1,2,,,112,111.6,124.6,117.6,,28,
99,Doug Flutie\FlutDo00,BUF,QB,38,11,5,132,231,1700,8,3,36,161,4.47,1,0,0,0,,0,5,2,1,,,112,112.1,123.1,115.1,,27,
100,Chris Chandler\ChanCh00,ATL,QB,35,14,13,192,331,2236,10,12,21,60,2.86,0,1,1,-4,-4.00,0,7,1,0,,,109,110.0,126.0,121.5,,29,
101,Donald Hayes\HayeDo00,CAR,WR,25,15,15,0,0,0,0,0,0,0,,0,112,66,926,14.03,3,1,1,3,,,109,174.6,178.6,141.6,,31,
102,Charles Johnson\JohnCh00,PHI,WR,28,16,16,0,0,0,0,0,5,18,3.60,0,100,56,642,11.46,7,0,,7,,,108,164.0,167.0,136.0,,32,
103,Ron Dayne\DaynRo00,NYG,RB,22,16,4,0,0,0,0,0,228,770,3.38,5,3,3,11,3.67,0,1,1,5,,,106,109.1,113.1,107.6,,29,
104,Curtis Conway\ConwCu00,SDG,WR,29,14,14,0,0,0,0,0,3,31,10.33,0,99,53,712,13.43,5,0,,5,,,104,157.3,160.3,130.8,,33,
105,Sean Dawkins\DawkSe00,SEA,WR,29,16,16,0,0,0,0,0,0,0,,0,102,63,731,11.60,5,0,,5,,,103,166.1,169.1,134.6,,35,
106,Darrell Jackson\JackDa00,SEA,WR,22,16,9,0,0,0,0,0,1,-1,-1.00,0,93,53,713,13.45,6,2,2,6,,,103,156.2,161.2,129.7,,34,
107,James McKnight\McKnJa00,DAL,WR,28,16,15,0,0,0,0,0,0,0,,0,106,52,926,17.81,2,1,1,2,,,103,154.6,158.6,128.6,,37,
108,Marcus Robinson\RobiMa00,CHI,WR,25,11,11,0,0,0,0,0,1,9,9.00,0,102,55,738,13.42,5,1,1,5,,,103,157.7,161.7,130.2,,36,
109,Richie Anderson *\AndeRi00,NYJ,RB,29,16,10,0,0,0,0,0,27,63,2.33,0,125,88,853,9.69,2,2,2,2,,,100,187.6,192.6,143.6,,31,
110,Shawn Bryson\BrysSh00,BUF,RB,24,16,7,0,0,0,0,0,161,591,3.67,0,46,32,271,8.47,2,1,,2,1,,100,132.2,138.2,116.2,,30,
111,Johnnie Morton\MortJo00,DET,WR,29,16,16,0,0,0,0,0,4,25,6.25,0,116,61,788,12.92,3,1,1,3,1,,99,160.3,164.3,129.8,,38,
112,Dedric Ward\WardDe00,NYJ,WR,26,16,16,0,0,0,0,0,4,23,5.75,0,119,54,801,14.83,3,1,1,3,,,98,152.4,156.4,125.4,,39,
113,Gus Frerotte\FrerGu00,DEN,QB,29,10,6,138,232,1776,9,8,22,64,2.91,1,0,0,0,,0,5,3,1,,,97,97.4,111.4,105.4,,30,
114,Andre Rison\RisoAn00,OAK,WR,33,16,0,0,0,0,0,0,0,0,,0,70,41,606,14.78,6,0,,6,,,97,137.6,140.6,117.1,,40,
115,Qadry Ismail\IsmaQa00,BAL,WR,30,15,13,0,0,0,0,0,0,0,,0,95,49,655,13.37,5,0,,5,,,96,144.5,147.5,120.0,,41,
116,Az-Zahir Hakim\HakiAz00,STL,WR,23,16,4,0,0,0,0,0,5,19,3.80,0,81,53,734,13.85,4,7,5,5,,,95,148.3,156.3,121.8,,43,
117,Terance Mathis\MathTe00,ATL,WR,33,16,16,0,0,0,0,0,1,-5,-5.00,0,124,57,679,11.91,5,1,1,5,,,95,152.4,156.4,123.9,,42,
118,Sammy Morris\MorrSa00,BUF,RB,23,12,8,0,0,0,0,0,93,341,3.67,5,48,37,268,7.24,1,2,1,6,,,95,131.9,138.9,113.4,,32,
119,Hines Ward\WardHi00,PIT,WR,24,16,15,0,0,0,0,0,4,53,13.25,0,83,48,672,14.00,4,2,1,4,,,95,142.5,146.5,118.5,,44,
120,Albert Connell\ConnAl00,WAS,WR,26,16,12,0,0,0,0,0,0,0,,0,102,39,762,19.54,3,0,,3,,,94,133.2,136.2,113.7,,46,
121,Terrell Fletcher\FletTe00,SDG,RB,27,16,6,0,0,0,0,0,116,384,3.31,3,71,48,355,7.40,1,2,2,4,,,94,141.9,149.9,117.9,,33,
122,Shawn Jefferson\JeffSh00,ATL,WR,31,16,14,0,0,0,0,0,1,1,1.00,0,104,60,822,13.70,2,1,,2,,,94,154.3,157.3,124.3,,45,
123,Priest Holmes\HolmPr00,BAL,RB,27,16,2,0,0,0,0,0,137,588,4.29,2,46,32,221,6.91,0,2,1,2,,,91,122.9,129.9,106.9,,34,
124,Peerless Price\PricPe00,BUF,WR,24,16,16,0,0,0,0,0,2,32,16.00,0,106,52,762,14.65,3,4,3,3,,,91,143.4,149.4,117.4,,47,
125,Trent Dilfer\DilfTr00,BAL,QB,28,11,8,134,226,1502,12,11,20,75,3.75,0,1,1,-1,-1.00,0,8,2,0,,,89,90.5,106.5,101.0,,31,
126,Larry Centers\CentLa00,WAS,RB,32,15,6,0,0,0,0,0,19,103,5.42,0,93,81,600,7.41,3,1,,3,,,88,169.3,175.3,128.8,,35,
127,Tony Banks\BankTo00,BAL,QB,27,11,8,150,274,1578,8,8,19,57,3.00,0,0,0,0,,0,5,,0,,1,87,86.8,97.8,94.8,,32,
128,Bobby Shaw\ShawBo00,PIT,WR,25,16,0,0,0,0,0,0,0,0,,0,69,40,672,16.80,4,2,2,4,,,87,127.2,132.2,107.2,,48,
129,Irving Fryar\FryaIr00,WAS,WR,38,14,6,0,0,0,0,0,2,16,8.00,0,76,41,548,13.37,5,0,,5,,,86,127.4,130.4,106.9,,49,
130,Willie Jackson\JackWi00,NOR,WR,29,15,7,0,0,0,0,0,0,0,,0,80,37,523,14.14,6,2,1,6,,,86,123.3,127.3,104.8,,50,
131,Jacquez Green\GreeJa00,TAM,WR,24,16,16,0,0,0,0,0,5,13,2.60,0,103,51,773,15.16,1,0,,1,,,85,135.6,138.6,110.1,,51,
132,James Thrash\ThraJa00,WAS,WR,25,16,9,0,0,0,0,0,10,82,8.20,0,74,50,653,13.06,2,1,1,2,,,84,133.5,137.5,108.5,,52,
133,Darnell Autry\AutrDa00,PHI,RB,24,11,7,0,0,0,0,0,112,334,2.98,3,37,24,275,11.46,1,2,1,4,,,83,106.9,113.9,94.9,,36,
134,Jerome Pathon\PathJe00,IND,WR,25,16,10,0,0,0,0,0,1,3,3.00,0,89,50,646,12.92,3,0,,3,,,83,132.9,135.9,107.9,,53,
135,Mike Alstott *\AlstMi00,TAM,RB,27,13,13,0,1,0,0,0,131,465,3.55,5,19,13,93,7.15,0,3,2,5,,,82,94.8,99.8,88.3,,37,
136,Jeremy McDaniel\McDaJe00,BUF,WR,24,16,6,0,0,0,0,0,0,0,,0,69,43,697,16.21,2,0,,2,,,82,124.7,127.7,103.2,,54,
137,Sylvester Morris\MorrSy00,KAN,WR,23,15,14,1,1,31,0,0,0,0,,0,105,48,678,14.13,3,3,3,3,,,81,129.0,135.0,105.0,,55,
138,Ryan Leaf\LeafRy00,SDG,QB,24,11,9,161,322,1883,11,18,28,54,1.93,0,0,0,0,,0,12,6,0,,,77,76.7,103.7,94.7,,33,
139,Randy Jordan\JordRa00,OAK,RB,30,16,0,0,0,0,0,0,46,213,4.63,3,32,27,299,11.07,1,1,,4,,,75,102.2,108.2,88.7,,38,
140,Torrance Small\SmalTo00,PHI,WR,30,14,14,0,1,0,0,1,1,1,1.00,0,94,40,569,14.23,3,0,,3,1,,75,115.0,119.0,96.0,,56,
141,Fred Beasley\BeasFr00,SFO,RB,26,15,15,0,0,0,0,0,50,147,2.94,3,51,31,233,7.52,3,0,,6,,,74,105.0,111.0,89.5,,39,
142,Tim Couch\CoucTi00,CLE,QB,23,7,7,137,215,1483,7,9,12,45,3.75,0,0,0,0,,0,2,,0,,,74,73.8,85.8,82.8,,34,
143,Eddie Kennison\KennEd00,CHI,WR,27,16,10,0,0,0,0,0,3,72,24.00,0,95,55,549,9.98,2,1,,2,,,74,129.1,132.1,101.6,,57,
144,Chris Warren\WarrCh00,2TM,RB,32,14,1,0,0,0,0,0,74,296,4.00,2,43,32,303,9.47,1,3,2,3,,,74,105.9,113.9,89.9,,40,
145,J.J. Stokes\StokJ.00,SFO,WR,28,16,3,0,0,0,0,0,1,6,6.00,0,53,30,524,17.47,3,0,,3,1,,73,103.0,106.0,88.0,,58,
146,Jeff George\GeorJe00,WAS,QB,33,6,5,113,194,1389,7,6,7,24,3.43,0,0,0,0,,0,3,1,0,,,72,72.0,82.0,78.0,,35,
147,J.R. Redmond\RedmJ.00,NWE,RB,23,12,5,0,0,0,0,0,125,406,3.25,1,29,20,126,6.30,2,2,,3,,,71,91.2,97.2,81.2,,41,
148,Terrence Wilkins\WilkTe00,IND,WR,25,14,7,0,0,0,0,0,3,8,2.67,0,67,43,569,13.23,3,4,3,3,,,70,112.7,118.7,91.2,,59,
149,Leslie Shepherd\ShepLe00,MIA,WR,31,13,11,0,0,0,0,0,4,3,0.75,0,59,35,446,12.74,4,0,,4,,,69,103.9,106.9,86.4,,60,
150,Ricky Proehl\ProeRi00,STL,WR,32,12,4,0,0,0,0,0,0,0,,0,39,31,441,14.23,4,0,,4,,,68,99.1,102.1,83.6,,61,
151,Napoleon Kaufman\KaufNa00,OAK,RB,27,14,2,0,0,0,0,0,93,499,5.37,0,24,13,127,9.77,1,1,1,1,,,67,79.6,86.6,73.1,,42,
152,Kevin Johnson\JohnKe01,CLE,WR,24,16,16,1,3,23,0,1,0,0,,0,98,57,669,11.74,0,0,,0,,,66,122.8,126.8,95.3,,62,
153,Troy Aikman\AikmTr00,DAL,QB,34,11,11,156,262,1632,7,14,10,13,1.30,0,0,0,0,,0,2,2,0,,1,65,64.6,83.6,78.6,,38,
