,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Chris Johnson *+\JohnCh04,TEN,RB,24,16,16,0,1,0,0,0,358,2006,5.60,14,71,50,503,10.06,2,3,3,16,1,,343,392.9,401.9,367.9,197,1,1
2,Adrian Peterson*+\PeteAd01,MIN,RB,24,16,15,0,0,0,0,0,314,1383,4.40,18,57,43,436,10.14,0,7,6,18,,,278,320.9,332.9,299.4,132,2,2
3,Maurice Jones-Drew*\DrewMa00,JAX,RB,24,16,16,0,0,0,0,0,312,1391,4.46,15,71,53,374,7.06,1,2,1,16,,,271,323.5,330.5,297.0,125,3,3
4,Aaron Rodgers *\RodgAa00,GNB,QB,26,16,16,350,541,4434,30,7,58,316,5.45,5,0,0,0,,0,10,4,5,,3,343,343.0,360.0,350.0,115,1,4
5,Andre Johnson *+\JohnAn02,HOU,WR,28,16,16,0,0,0,0,0,2,10,5.00,0,171,101,1569,15.53,9,1,,9,1,,214,314.9,317.9,264.4,104,1,5
6,Ray Rice*\RiceRa00,BAL,RB,22,16,15,0,1,0,0,0,254,1339,5.27,7,101,78,702,9.00,1,3,2,8,,,248,326.1,334.1,287.1,102,4,6
7,Randy Moss\MossRa00,NWE,WR,32,16,16,0,0,0,0,0,0,0,,0,137,83,1264,15.23,13,2,1,13,1,,204,287.4,291.4,245.9,95,2,7
8,DeSean Jackson*\JackDe00,PHI,WR,23,15,15,0,0,0,0,0,11,137,12.45,1,117,62,1156,18.65,9,3,1,12,,,199,261.3,268.3,230.3,90,3,8
9,Miles Austin*\AustMi00,DAL,WR,25,16,9,0,0,0,0,0,2,-2,-1.00,0,124,81,1320,16.30,11,1,,11,,,198,278.8,281.8,238.3,88,4,9
10,Thomas Jones\JoneTh00,NYJ,RB,31,16,16,0,0,0,0,0,331,1402,4.24,14,18,10,58,5.80,0,2,,14,,,230,240.0,243.0,235.0,84,5,10
11,Frank Gore*\GoreFr00,SFO,RB,26,14,14,0,0,0,0,0,229,1120,4.89,10,75,52,406,7.81,3,4,2,13,,,227,278.6,286.6,252.6,81,6,11
12,Larry Fitzgerald*\FitzLa00,ARI,WR,26,16,16,0,0,0,0,0,0,0,,0,153,97,1092,11.26,13,0,,13,,,187,284.2,287.2,235.7,78,5,12
13,Vernon Davis *\DaviVe00,SFO,TE,25,16,16,0,0,0,0,0,0,0,,0,128,78,965,12.37,13,0,,13,,,175,252.5,255.5,213.5,76,1,13
14,Reggie Wayne*\WaynRe00,IND,WR,31,16,16,0,1,0,0,1,0,0,,0,149,100,1264,12.64,10,0,,10,,,184,284.4,288.4,235.4,75,6,14
15,Dallas Clark*+\ClarDa00,IND,TE,30,16,16,0,0,0,0,0,2,11,5.50,0,133,100,1106,11.06,10,1,,10,,,172,271.7,274.7,221.7,73,2,15
16,Roddy White*\WhitRo00,ATL,WR,28,16,16,0,0,0,0,0,1,2,2.00,0,165,85,1153,13.56,11,1,,11,,,182,266.5,269.5,224.0,72,7,16
17,Sidney Rice*\RiceSi01,MIN,WR,23,16,14,0,1,0,0,0,0,0,,0,121,83,1312,15.81,8,1,1,8,,,177,260.2,264.2,218.7,68,8,17
18,Ricky Williams\WillRi00,MIA,RB,32,16,7,0,1,0,0,1,241,1121,4.65,11,53,35,264,7.54,2,5,2,13,1,,213,247.5,256.5,231.0,67,7,18
19,Drew Brees*\BreeDr00,NOR,QB,30,15,15,363,514,4388,34,11,22,33,1.50,2,1,1,-4,-4.00,0,10,6,2,,1,294,295.4,315.4,305.9,66,2,19
20,Brandon Marshall*\MarsBr00,DEN,WR,25,15,13,0,0,0,0,0,7,39,5.57,0,154,101,1120,11.09,10,0,,10,,,176,276.9,279.9,226.4,66,9,20
21,Antonio Gates*\GateAn00,SDG,TE,29,16,16,0,0,0,0,0,0,0,,0,114,79,1157,14.65,8,1,,8,,,164,242.7,245.7,203.2,65,3,21
22,Ryan Grant\GranRy00,GNB,RB,27,16,16,0,0,0,0,0,282,1253,4.44,11,30,25,197,7.88,0,1,1,11,,,209,234.0,241.0,221.5,63,8,22
